        1736         352        4384
        1735         352        4384
        1735         351        4384
        1736         351        4384
        1736         351        4385
        1736         350        4385
        1737         350        4385
        1737         350        4386
        1738         350        4386
        1739         350        4386
        1739         349        4386
        1739         349        4387
        1739         348        4387
        1740         348        4387
        1740         348        4388
        1740         348        4389
        1740         347        4389
        1740         347        4390
        1741         347        4390
        1741         348        4390
   0.0000000    
