          26         -68         686
          25         -68         686
          25         -68         687
          24         -68         687
          24         -67         687
          24         -67         686
          23         -67         686
          22         -67         686
          21         -67         686
          20         -67         686
          19         -67         686
          18         -67         686
          17         -67         686
          16         -67         686
          16         -67         685
          15         -67         685
          14         -67         685
          14         -67         686
          14         -66         686
          14         -66         687
  -303.244141    
