         -56          22          94
         -56          23          94
         -56          24          94
         -57          24          94
         -57          24          95
         -57          24          96
         -58          24          96
         -58          23          96
         -58          23          97
         -59          23          97
         -59          23          98
         -58          23          98
         -58          24          98
         -59          24          98
         -59          24          97
         -59          25          97
         -60          25          97
         -60          25          98
         -61          25          98
         -62          25          98
   4.7503152    
